	date	topup_amount
0	2023-05-19	262.71
1	2023-06-24	487.57
2	2023-07-15	487.57
3	2023-08-11	487.57
4	2023-09-01	500.0
5	2023-09-29	487.57
6	2023-10-14	487.57
7	2023-11-03	487.57
8	2023-11-19	700.0
9	2023-12-13	487.57
10	2023-12-31	500.0
11	2024-01-24	487.57
12	2024-02-13	587.57
13	2024-03-02	187.57
