	labels	perc
0	14 - 18	1.440922190201729
1	18 - 22	3.7463976945244957
2	22 - 23	4.322766570605188
3	23 - 25	81.55619596541787
4	25 - 26	4.034582132564841
5	26 - 33	4.899135446685879
